id,KODE PROVINSI,NAMA PROVINSI,KODE KAB,NAMA KABUPATEN,DESA MANDIRI,DESA MAJU,DESA BERKEMBANG,DESA TERTINGGAL,DESA SANGAT TERTINGGAL,TIDAK MEMENUHI KRITERIA (tidak melakukan pengukuran berdasarkan,TOTAL DESA
145,61.0,KALIMANTAN BARAT,6111.0,KAYONG UTARA,34.0,5.0,4.0,0.0,0.0,0,43.0
146,61.0,KALIMANTAN BARAT,6104.0,KETAPANG,126.0,67.0,60.0,0.0,0.0,0,253.0
147,61.0,KALIMANTAN BARAT,6112.0,KUBU RAYA,82.0,26.0,15.0,0.0,0.0,0,123.0
148,61.0,KALIMANTAN BARAT,6108.0,LANDAK,57.0,38.0,61.0,0.0,0.0,0,156.0
149,61.0,KALIMANTAN BARAT,6110.0,MELAWI,60.0,42.0,67.0,0.0,0.0,0,169.0
150,61.0,KALIMANTAN BARAT,6102.0,MEMPAWAH,53.0,4.0,3.0,0.0,0.0,0,60.0
151,61.0,KALIMANTAN BARAT,6101.0,SAMBAS,189.0,6.0,0.0,0.0,0.0,0,195.0
152,61.0,KALIMANTAN BARAT,6103.0,SANGGAU,103.0,45.0,15.0,0.0,0.0,0,163.0
153,61.0,KALIMANTAN BARAT,6109.0,SEKADAU,62.0,18.0,14.0,0.0,0.0,0,94.0
154,61.0,KALIMANTAN BARAT,6105.0,SINTANG,146.0,110.0,134.0,0.0,0.0,0,390.0
155,63.0,KALIMANTAN SELATAN,6311.0,BALANGAN,68.0,83.0,2.0,0.0,0.0,1,154.0
156,63.0,KALIMANTAN SELATAN,6303.0,BANJAR,86.0,137.0,54.0,0.0,0.0,0,277.0
157,63.0,KALIMANTAN SELATAN,6304.0,BARITO KUALA,81.0,103.0,11.0,0.0,0.0,0,195.0
158,63.0,KALIMANTAN SELATAN,6306.0,HULU SUNGAI SELATAN,47.0,84.0,13.0,0.0,0.0,0,144.0
159,63.0,KALIMANTAN SELATAN,6307.0,HULU SUNGAI TENGAH,93.0,59.0,9.0,0.0,0.0,0,161.0
160,63.0,KALIMANTAN SELATAN,6308.0,HULU SUNGAI UTARA,82.0,113.0,19.0,0.0,0.0,0,214.0
161,63.0,KALIMANTAN SELATAN,6302.0,KOTABARU,36.0,81.0,81.0,0.0,0.0,0,198.0
162,63.0,KALIMANTAN SELATAN,6309.0,TABALONG,90.0,28.0,3.0,0.0,0.0,0,121.0
163,63.0,KALIMANTAN SELATAN,6310.0,TANAH BUMBU,91.0,47.0,14.0,0.0,0.0,0,152.0
164,63.0,KALIMANTAN SELATAN,6301.0,TANAH LAUT,62.0,53.0,15.0,0.0,0.0,0,130.0
165,63.0,KALIMANTAN SELATAN,6305.0,TAPIN,75.0,51.0,0.0,0.0,0.0,0,126.0
166,62.0,KALIMANTAN TENGAH,6204.0,BARITO SELATAN,8.0,30.0,48.0,0.0,0.0,0,86.0
167,62.0,KALIMANTAN TENGAH,6213.0,BARITO TIMUR,5.0,48.0,46.0,1.0,0.0,0,100.0
168,62.0,KALIMANTAN TENGAH,6205.0,BARITO UTARA,27.0,28.0,35.0,3.0,0.0,0,93.0
169,62.0,KALIMANTAN TENGAH,6210.0,GUNUNG MAS,4.0,27.0,62.0,21.0,0.0,0,114.0
170,62.0,KALIMANTAN TENGAH,6203.0,KAPUAS,11.0,60.0,122.0,21.0,0.0,0,214.0
171,62.0,KALIMANTAN TENGAH,6206.0,KATINGAN,8.0,28.0,93.0,25.0,0.0,0,154.0
172,62.0,KALIMANTAN TENGAH,6201.0,KOTAWARINGIN BARAT,46.0,35.0,0.0,0.0,0.0,0,81.0
173,62.0,KALIMANTAN TENGAH,6202.0,KOTAWARINGIN TIMUR,71.0,44.0,53.0,0.0,0.0,0,168.0
174,62.0,KALIMANTAN TENGAH,6209.0,LAMANDAU,26.0,41.0,18.0,0.0,0.0,0,85.0
175,62.0,KALIMANTAN TENGAH,6212.0,MURUNG RAYA,1.0,12.0,88.0,15.0,0.0,0,116.0
176,62.0,KALIMANTAN TENGAH,6211.0,PULANG PISAU,9.0,59.0,27.0,0.0,0.0,0,95.0
177,62.0,KALIMANTAN TENGAH,6207.0,SERUYAN,21.0,19.0,57.0,0.0,0.0,0,97.0
178,62.0,KALIMANTAN TENGAH,6208.0,SUKAMARA,11.0,8.0,10.0,0.0,0.0,0,29.0
179,64.0,KALIMANTAN TIMUR,6403.0,BERAU,19.0,42.0,39.0,0.0,0.0,0,100.0
180,64.0,KALIMANTAN TIMUR,6407.0,KUTAI BARAT,59.0,86.0,41.0,4.0,0.0,0,190.0
181,64.0,KALIMANTAN TIMUR,6402.0,KUTAI KARTANEGARA,87.0,83.0,23.0,0.0,0.0,0,193.0
182,64.0,KALIMANTAN TIMUR,6408.0,KUTAI TIMUR,25.0,69.0,45.0,0.0,0.0,0,139.0
183,64.0,KALIMANTAN TIMUR,6411.0,MAHAKAM ULU,5.0,19.0,26.0,0.0,0.0,0,50.0
184,64.0,KALIMANTAN TIMUR,6401.0,PASER,46.0,72.0,21.0,0.0,0.0,0,139.0
185,64.0,KALIMANTAN TIMUR,6409.0,PENAJAM PASER UTARA,21.0,9.0,0.0,0.0,0.0,0,30.0
186,65.0,KALIMANTAN UTARA,6501.0,BULUNGAN,11.0,21.0,42.0,0.0,0.0,0,74.0
187,65.0,KALIMANTAN UTARA,6502.0,MALINAU,27.0,24.0,52.0,6.0,0.0,0,109.0
188,65.0,KALIMANTAN UTARA,6503.0,NUNUKAN,23.0,20.0,140.0,49.0,0.0,0,232.0
189,65.0,KALIMANTAN UTARA,6504.0,TANA TIDUNG,11.0,14.0,7.0,0.0,0.0,0,32.0
190,19.0,KEPULAUAN BANGKA BELITUNG,1901.0,BANGKA,26.0,36.0,0.0,0.0,0.0,0,62.0
191,19.0,KEPULAUAN BANGKA BELITUNG,1905.0,BANGKA BARAT,29.0,31.0,0.0,0.0,0.0,0,60.0
192,19.0,KEPULAUAN BANGKA BELITUNG,1903.0,BANGKA SELATAN,14.0,22.0,14.0,0.0,0.0,0,50.0
193,19.0,KEPULAUAN BANGKA BELITUNG,1904.0,BANGKA TENGAH,36.0,20.0,0.0,0.0,0.0,0,56.0
194,19.0,KEPULAUAN BANGKA BELITUNG,1902.0,BELITUNG,23.0,18.0,1.0,0.0,0.0,0,42.0
195,19.0,KEPULAUAN BANGKA BELITUNG,1906.0,BELITUNG TIMUR,28.0,11.0,0.0,0.0,0.0,0,39.0
196,21.0,KEPULAUAN RIAU,2101.0,BINTAN,12.0,17.0,7.0,0.0,0.0,0,36.0
197,21.0,KEPULAUAN RIAU,2102.0,KARIMUN,19.0,13.0,10.0,0.0,0.0,0,42.0
198,21.0,KEPULAUAN RIAU,2105.0,KEPULAUAN ANAMBAS,11.0,20.0,21.0,0.0,0.0,0,52.0
